,user_address,ens,time_since_first_tx,total_gas_eth,number_of_txs
72,\x03a09be5be486ab68d326547035bb367f99165a0,,69 days,0.3581,52
73,\x03b33d8468223b7e7d8e32825ab59c6e6e5b44cb,elonmusk·,56 days,7.1535,565
74,\x03be8b875eb7a1e36f37dead4ca6093c12a6fe45,,127 days,3.3687,217
75,\x03d1a11f5e98a02ecd31962dc787000451e0c1d2,arigreenberg,163 days,4.5188,653
76,\x03fa8a60cf4671933720270c7b743cdc07b78b51,,36 days,5.0129,70
77,\x0405049ea3757f60a43a4bdfdedf498034841fac,potatoz,163 days,22.9898,626
78,\x040965ab8380242d92533c285d415ec99bb36f59,habersham,21 days,2.1436,49
79,\x040c363488e0945b65af0182949eb0e5da9c8371,,11 days,2.9239,12
80,\x040d4c46b67f44378037f0b83ac024f74b1232b1,,92 days,1.6934,244
81,\x0412f0e43abafcdba13d0fd70818a68fc34b6216,,196 days,0.4326,111
82,\x0413287fa38b95e81c3b2bc9f4d08b801d562f0b,,75 days,4.9292,226
83,\x041cd43c8dff91e3e3f86bd1990afaf6801a83ce,,163 days,7.9446,561
84,\x042105e2b14a99b6b2d796d4782a9be88db5139e,,19 days,0.1693,10
85,\x042262cf9da37a8f198a7448980eb5f50dc2c034,,171 days,1.6521,130
86,\x042b4e01f6ed950d0091d564bb2d03792a274212,,25 days,0.4968,61
87,\x045681c7cebb710b0e1e5dafe7aeed5aa4c75df5,,00:00:00,0.0035,1
88,\x046659bb263fd831e3e1383e7acb6c37b622b29f,kaisen,623 days,2.4949,370
89,\x047c4d7af709ae19d3bbbd5f9e10461d2554da00,wugamlo,362 days,1.2041,143
90,\x047d70f5cfb2572557433e82a6f3762eff2f878f,,52 days,2.6483,221
91,\x0491914687bab1f3606e2a77ed890ee3ac392ecf,,162 days,1.0381,75
92,\x04a74c73637160977c8b08eb4b4a30480c1f5e6d,,80 days,0.2229,13
93,\x04c4a90801d1ef5ae8576a0a5bdd8eeab362a644,,1115 days,12.3666,565
94,\x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,grarbs,279 days,6.0389,616
95,\x04d070cc8c414ff66888865ca4f93b270102476e,,174 days,1.0781,25
96,\x04d64e206316e59207a3904207046a9ecb23db60,,141 days,1.8751,80
97,\x04de0ce1e71b43b97b8666b6505dabcaf9718a5b,,79 days,0.0202,5
98,\x04f273dde0c27ae188f81246bbda93f444cd9dd3,,51 days,0.8695,141
99,\x04f3c550216a29fdea8c7cf56823b7ed2fff8eff,litesnftwallet,60 days,3.3153,580
100,\x04f62e859bc27e82a59d8db62929d516ad01103b,,383 days,9.6799,531
101,\x05009c28ccc8e5336a79286fe7c87544cfd0470a,luckybenedict,276 days,16.9662,704
102,\x0503ed50534614193fcd085c5de01728a4824822,elitenft,222 days,28.231,1017
103,\x050515e0d42d1dca9dc8f6e9d890a9e29417fb9e,qbcryptopick,126 days,2.7272,500
104,\x0508c3a6cb083b03d760a2cd7bd28a0a32a63e84,,241 days,5.5269,623
105,\x050920eda4014e25ded17c346b425239a468d63d,yatseen,189 days,2.9429,329
106,\x050ee024a0ffd8b9bd383271835b27dd66c3fec3,🏠nftproject,212 days,97.6573,5433
107,\x050ee586a0485bf1cf6123f20a979d87620c2b98,,180 days,1.35,84
108,\x0516155b8ce44cb722440c12f5e1d876b99a0973,,62 days,0.5399,20
109,\x051d7129a5579503ec9554290ee7b765814ab1d1,,75 days,8.4491,366
110,\x0521a00d551ea3bb1ea1c9dad6fb2ffa26d779d9,,126 days,1.2027,96
111,\x05258e865f382b33e3d45bcd0fef58458611bda9,lloyd,169 days,1.7884,170
112,\x052664a7fbdbed35d556d2f46d4a878b8b039b86,,4 days,0.4365,18
113,\x0551597d4a70adceb53fdb0c78e240e1500fc710,,00:00:00,0.0196,2
114,\x05523d7c6f5b0e80e4c70f21f51a1f1e03525c98,,90 days,16.3361,367
115,\x0552f413b894bf728c2df128d1ef46c3fada2054,,118 days,1.3909,27
116,\x055f86a0aaf702d7324076ae9c5b9aa203204ccd,farazyaqeen,315 days,6.7741,748
117,\x056298db68eded01e4aaecdc768f0ecf484736a3,,206 days,1.4082,153
118,\x0565bae3c05b3db8ae5fb51dfadb15cb51112066,,27 days,0.1423,8
119,\x05676a7f44235ee70af1c1d2272c1ee3628cbbc8,,25 days,0.9349,21
120,\x05782387c5572e96d72f4bcd8cb61f8d7c3fb16f,,137 days,0.2371,8
121,\x0578aa0595e0c83530dcde1d7a339479bfe6b0b7,mcnutt,187 days,2.0618,209
122,\x057d1e845402b371eb793135f877966b47577e28,,112 days,6.2512,424
123,\x057f8d0f6fb2703197363f75c002f766f1c4287a,nsai,1520 days,4.5043,424
124,\x058589ed65f03c86ec562937f9059faeb8ce0292,,140 days,2.3345,60
125,\x058adaa220bd62d5de55f89f62a510d67eaea20d,,22 days,1.6627,15
126,\x0590be4ed567e31e78b94a7dce8c10bcde73fcc1,,118 days,7.3398,158
127,\x059a8677d45a51490ad3eca47dc5aa02be0d696a,,1363 days,21.1007,1318
128,\x059fe4871f4f4fd2bc929d2c4a1e3530c345b47f,,398 days,4.9553,669
129,\x05a008bc8ef81b0574b519a5e738f8016b1cab35,,15 days,0.1104,4
130,\x05a48234ecccbefb7f108e0d8e6a507879105cf4,,1441 days,26.2611,513
131,\x05c381f5008a86c10e098ffee6a4531ca51eed71,,21 days,2.331,64
132,\x05d047c173ada84f3f04ad44ec7e781ef32635c8,,28 days,1.1703,119
133,\x05d0e369f75fe783083cc4bba52ba0e4eadc22e7,,13 days,0.1923,49
134,\x05d39700e75c656eabd2291f5b09710ed6c6f4fe,,470 days,7.9051,528
135,\x05e059a4020e9743c3262ddb01908159500f3b81,,152 days,20.8365,1428
136,\x05ed5c05b3d8d431e28c77fd1a5ac231e16b670f,,192 days,0.8627,63
137,\x05f2fe99ea69ecafd6ad2cddc02f154a97413b5d,,139 days,3.5259,233
138,\x061600d3515b387d562504eed5a1a485f9ae0ee4,,117 days,10.0628,437
139,\x061d13fb1f50c30fd33ad9f036ab404e3010023d,,175 days,3.0252,309
140,\x06202faa846e1a090d742672969d6986145ab84d,,6 days,0.1674,24
141,\x062eed02c619fb9fd5d3bbc07a1e56f1c550d5e5,jamiebyrne,110 days,0.3943,35
142,\x0632ba7b5257ae648bf0d2bae049878a5f7307b3,,23 days,0.9466,23
143,\x0639e840829e39ae5ce839d9121047273362db1c,,82 days,5.9826,218
144,\x0642e7cec820a0e2523b0c427629cc2a6e4a2584,,2 days,0.5176,5
145,\x064635e9ad8c770df4430180f0983ac0c59fc3fc,,159 days,10.4895,457
146,\x06488c021b44b2cb1e6f134167b1a56297edd7c1,,47 days,13.0483,566
147,\x065b9c9f60a666fb1a74c4eb2c56dde3071888f2,,401 days,6.7395,447
148,\x067da3bafd8fedc4ca1840f0677442302032982c,riverse,68 days,1.031,161
149,\x067dc06d45b695dfc877a5d3f174ff8576699950,,31 days,0.0148,4
150,\x068774358ebb17fbc8e1e51e35412422b4a6a814,,146 days,0.5348,72
151,\x06ac3826c858c64b5755e292d17477090d3d2149,,71 days,8.5487,144
152,\x06d13d1562eb9da28c59e86e9bfc2a87d13afb01,,1172 days,13.9,10553
153,\x06d5e2faec0cdcb76ababacb1bb17dc7f8b7217f,,35 days,0.2328,11
154,\x06e9914ccb45dbb00fe98566a2e3052ae0c80a01,,16 days,1.6087,101
155,\x06eb08ba6730a308cbecb432bb7f5689c5c52aff,,00:00:00,0.3989,1
156,\x06ede792a53bff7b3e3533741ea0761fe6909d8a,,27 days,0.3188,33
157,\x070a7db427841297f2c67f1c040a102be094440c,,2 days,0.0602,6
158,\x0717ddfe299daa44282b26d8703cede2163bed48,,114 days,19.9721,463
