user_address,time_since_first_tx,total_gas_eth,number_of_txs
\x7424c2f6a6080ee56c5a0cb37540c424217de5b1,196 days,9.6872,488
\x742ee0603b781c233800e2c8feb778140a3e00b4,54 days,0.5720,50
\x7447897b21ee3bfdcfb23cead32b08ce778607d9,429 days,6.2051,664
\x745cfab7b52a45cdb75bdbcdb6e4562ef25f166b,171 days,4.2707,103
\x74ab86cdf3cc55a6c2da0a32c0fb6912e47c960d,89 days,2.5747,417
\x75bff184b51256d3e7d077d02d83d6c95c8e7e58,138 days,2.3028,183
\x76b1f80d532c7496a95e8b4714df239e29922302,124 days,4.1899,150
\x76d2185834cf02e5a65622d5e26ab112df20ced1,313 days,1.2813,75
\x770e947ebdff7f1a5229fd422d702e603d3a27e8,269 days,2.7086,573
\x7730dd897420757bfcb388c71244e1d3803ec2cd,37 days,1.7162,151
\x7769370c4998254e1c04a24282ad62c3534909e5,12 days,0.5551,25
\x778e6c00be68687c9125c0f7bd411703ac477027,286 days,9.6941,718
\x77d74a7611db43241e25c65888e6a26fa69019a1,175 days,4.6645,479
\x77fc028da2f3fbc36f9f9d3c4a901f4ac037a467,337 days,1.7470,151
\x7842387384cd77c10e47a7fd63c5bb4e0476b8c3,89 days,5.5040,361
\x78c4b4a8bb8c7366b80f470d7dbeb3932e5261af,160 days,3.1680,402
\x7911670881a81f8410d06053d7b3c237ce77b9b4,337 days,45.4304,3495
\x79374fdf37d880354c89cbdb89a50c4471aee336,148 days,3.1394,195
\x7949eb8e7b8d83eaa26d8ad2854e6d3c59da6813,176 days,3.4069,410
\x7a1932a4be3a3b32f8e0da9e5033b0865336a260,124 days,0.5429,40
\x7a264bdfb706f4299822e21da7b19cf0822f0afc,1322 days,9.1162,1523
\x7a70536c4d695b1ec9df972e91461e834bfb00e8,32 days,2.8177,354
\x7abace8a981578d3bd29f294be33af04c1100145,366 days,3.3155,461
\x7abca3cbc8aa182d10f742f72e2e8bc68c4a8839,147 days,14.8929,571
\x7ac34681f6aaeb691e150c43ee494177c0e2c183,1487 days,55.1143,4146
\x7ad02192428d7a3991cb17e7990a380b96f6c13d,31 days,1.8144,74
\x7aed66f7729ede5e750d6aa4b267c6adaaf5e44d,50 days,3.4906,407
\x7b800021e2529d26f45f4f7a3d0d91a3706ace19,1336 days,4.3487,414
\x7bad2138b818079db0bc7df5185b6bae9589370d,1275 days,5.8079,918
\x7bbc6f3cdccfcf03cb062856e751b8950dad812b,167 days,1.5160,302
\x7bd28f10caa7454e84de00b66bf27f6ed1af5c4c,135 days,4.4489,479
\x7bd4fb369068f29a15c159b27fa66f3e628eefd4,1540 days,0.6897,137
\x7c03c6fc64293c460be652f4015ad232e695ac8e,8 days,1.2843,44
\x7c54effe7bc3906b6ffe7390c8bf9afd67089409,341 days,0.3222,54
\x7c6553933a471b43ce3a76a02245c5162c82522c,160 days,9.5065,509
\x7c8e9d6d95023a0c588a5220e5072bac59d3abc9,166 days,1.7856,72
\x7cabb73f5b840b245ec2528751445da1f6dd7eee,151 days,8.7095,1041
\x7d112b3216455499f848ad9371df0667a0d87eb6,140 days,17.0686,843
\x7d2a4cb32526cd566ee82fbab5e52073ff80cc57,164 days,1.8437,141
\x7d2f19a1cd262255cde63024ffd5bd3961fb0ad3,12 days,1.0651,36
\x7d378ed22143f32fc86d0acc463eb0adc29143d2,147 days,1.9085,134
\x7dab9359a5577915bb6b1bc1e057d9d3cd3ea117,147 days,1.1244,37
\x7db7f636eb50ab2734b587a4eb0ee3e8e75d5254,232 days,34.2198,2139
\x7e3b9e461d1ccd4d0ec4cf09fc1de9d6d4e335ac,357 days,22.7650,1114
\x7e5124202b1a177cbc254b2c2262541682f20601,157 days,2.2811,245
\x7e5ce10826ee167de897d262fcc9976f609ecd2b,1595 days,4.1239,688
\x7f10a908d757bed1c74fb285000f6c2a238fb2c6,37 days,0.2218,13
\x7f169908e60cfeaa2816bf59ba921e17bc2edb36,37 days,3.2722,41
\x7f7d51372c714e8da88026f9925a7e0dd60e8237,31 days,1.6525,68
\x8166c3fc9433aa9ad7aa72a6ecf45bbda44e2d35,139 days,4.3508,410
\x82397c3222c3797aa8c01eb05c316070281cd779,183 days,15.0313,1059
\x82466928c6cf6984b723a653b3faa3e8206e09c8,117 days,3.5814,281
\x8282495b01698cd72ac12411864b9bd0e1aae19f,13 days,0.5198,21
\x8304dc7730e99b01755e38f717c4d0b9f3323dcb,331 days,5.5230,576
\x83ad5b31dd251b0c390b3cfd878b76d6b1ed1a7b,20 days,0.2613,20
\x83e799564346b89359fc398f7e402edcdbe4e4db,129 days,1.0005,116
\x83f47b5833e30f71f3af7490f2938fba4ec67ef4,4 days,0.4605,23
\x84023510eeb4e745e52035ad42255a00a41e7f90,258 days,2.8060,407
\x842411ae8a8b8ec37bad5e63419740a2854e6527,139 days,3.2203,404
\x846e49ece01ac637f57c2fdf3effe476b7001190,132 days,2.4370,108
\x84a7b031d90b7d50f1c49bb0b6379b4306cd8a51,40 days,4.6155,488
\x84ae057efb7fcf5b1e8721b1e32fe2a00e69242b,1266 days,1.6815,136
\x84f3028236c9ab1b628e0ba7e7daed471f7a05d9,131 days,4.5419,334
\x8517e0633f49ff1cd554b5a12337a27f807cd653,124 days,1.7084,62
\x85298774c2dbbbb9191373a9bc14f4a9434e5ff4,2 days,0.4595,40
\x853b811892b8107860e8b71e670a83c462b4a507,88 days,1.2678,107
\x853c6b9a02bb87fad5625485d6835692a8230773,351 days,20.9642,1216
\x8613017807c38bb4134628d2d4bb7a6ab043c48a,474 days,5.8577,584
\x86494a5eb108ca2068a5bd55f617d430bc6d5eba,62 days,34.2698,316
\x874ce968c000a490726e1c2f21e5b0a3b8a09683,100 days,0.7363,99
\x87cb48c49dcc67325c1ba73da598698822ef4acf,34 days,5.5374,37
\x87f8d1c21c8a224b10721088b55e12f2ecb59539,109 days,2.3824,49
\x884b906be45340f967f7234ac63d854c6cc11f6f,156 days,2.3090,192
\x88593cbada4a6224edd237b079e43486fb8a7ab8,1030 days,1.0255,23
\x886478d3cf9581b624cb35b5446693fc8a58b787,159 days,25.4751,1564
\x8989a26d82c14fc96e8c2abf3e8d60fc3c3f5eb3,89 days,2.6541,90
\x89923b2b5130bfe15252d24a37431357e708c3e2,123 days,2.0912,173
\x89e855b7a35255a95b4f66c6ee4b7b6dcb83388a,3 days,0.0377,8
\x8a01c36c1af154e0573bbe155fe3a053e3d3ae78,113 days,11.4953,533
\x8a333a18b924554d6e83ef9e9944de6260f61d3b,977 days,9.6176,811
\x8b078d0cc0f3b67f18c0877cc20519b04a427abe,13 days,0.3945,36
\x8b0e50ca841648bfe3ae26f9249feed729887601,93 days,0.5845,34
\x8b705673f1747ff5b9fad5d7f55e180c0f5baf8e,312 days,2.7337,94
\x8bd8795cbeed15f8d5074f493c53b39c11ed37b2,151 days,4.5530,372
\x8be3fd8a423c38131aae0330b20ceec425e0e50e,166 days,8.5572,449
\x8c2b105b64059b4d1f8d66ed151aba066b1351d4,302 days,6.2782,86
\x8c6fe398d2ef8fa1181d670f19994355e49fb179,37 days,2.8992,85
\x8c8024bf5f90a06cced7d32babccb934942c82f6,353 days,16.2193,1065
\x8c9897c494deaa0e0b642f33770072ef5bcbf73d,459 days,27.0077,2836
\x8d1b2473c85b60e13c33a477f787025c793b2551,26 days,0.4477,26
\x8dc15fc73c197a7bbd4dbbb9d8911235387e949b,96 days,6.4583,699
\x8de7ca9753d5fafcbee95d402c662e1ccc41c546,37 days,3.4216,148
\x8df6362fee71798060e13246795d78144bc1e83e,116 days,1.7092,213
\x8e018350d31c897ce2f1070fd40855d31c849465,16 days,0.5648,63
\x8e082ebd3ce93122c2aa09647b36676992261c48,83 days,0.7383,64
\x8e1311bee91e4ce25f4f2ea2e998f946e57ff094,136 days,13.9437,131
\x8e1fa7018687b69d09b8d8e8a1f96d1e2685f127,297 days,0.7666,53
\x8f09cab21e32219618ce302fc60abb9f4dfbb86d,132 days,2.9503,182
\x8f903cfc0af3c2ec0d872c57538af5e071544a57,1218 days,11.0495,1087
\x9023ef16968ffea318838a223ef2a79bd9f99f88,677 days,23.4625,1303
\x9047160b5e47e9290caa12886730c73cbb136884,139 days,1.0197,144
\x9059b7c20390161af7a8fd2aac21f1b9ac7b22be,339 days,88.0975,3744
\x910b48c25afc5b2a998458b62d467d482eca74af,936 days,11.8652,785
\x91364516d3cad16e1666261dbdbb39c881dbe9ee,1508 days,1.9575,291
\x9176d605e0bcf8e9a0b0d8587c96c34b5b5ed7ec,279 days,15.2024,593
\x91d336be71e61489667220508c02d33f5c07f502,309 days,20.4274,2140
\x91d62329a89a28b3f9bc98c8f396c16ec8d9802b,1330 days,3.1470,471
\x91e371c3cd3aa81af27b1602d4d8cf9d81ec5a90,142 days,5.5633,541
\x91ffc96bcd9f9f4ffa22b538d335c7c6039769bc,1645 days,1.5313,59
\x9224cf7956b8787f1e015349ba2937cef29215d8,323 days,5.9882,409
\x92cdc5ae03b2859a69a12c125b4ff130428698d4,147 days,65.0273,2723
\x930fff2164d24cf69e2ca3deedf022d117bee7f1,75 days,0.1912,74
\x93e45360f7e5b0b85d8e65dae9fa1a6f2af56819,1381 days,7.5142,316
\x940ed25686d28135ff3bcace9c905b662aa5d3ed,10 days,0.0225,8
\x942dd738743f80fb675f1c8049bf7a1d51946b91,117 days,2.0242,54
\x9477861457123c55cd34c608068c58af2bff5dc8,298 days,15.9376,1356
\x94a465183ff9a939295d3c8cc09b5ca27a63fb9c,140 days,3.9718,422
\x94ca9e0a858d080a9a3d2b72cd4d23e02f5cdc10,155 days,7.4091,790
\x952817314cbc9577fdc9ee93b8d5555a28f04014,50 days,1.0397,31
\x9571786ca88afb3c42f33668195f5795c7c3af0f,1345 days,6.3526,339
\x959ea444e0fabb1eea4de9944ff8754f16aac731,1162 days,0.8169,85
\x95ec92ca95bc6b8950be47082ad0ce8c9cfe463e,56 days,1.9197,286
\x9629d5b9b640e57a7ecc7098aa334506293e9c97,309 days,2.3976,33
\x96dc89dbe84970ee42a2f0b35fb50599e6745ff8,128 days,3.9995,573
\x97548d24206b1db8610dae3b296644f875c71d8c,39 days,0.5321,53
\x97d21720b8c0ac55b472ec2411b906f68b805e67,168 days,1.5876,178
\x983cb3da627aac4d8c0979e76d9619af2f350490,155 days,4.0822,416
\x98a692316057e74b9297d53a61b4916d253c9ea6,204 days,2.5110,233
\x98b6e2b8df8667eff38f159f23167f9bc1602c12,00:00:00,0.2572,6
\x98e8494deb48f06ad426555312284055623aa9cf,305 days,2.2256,431
\x991eab746c648909ce2ecf4a8e944c63fd1ee493,56 days,1.9454,127
\x99799dbb5a66b2ed2499524a741ab7911236db1c,1338 days,12.2576,1280
\x9a44c4ef3c1589e3646a293ffb4e81d8a4fbdcd0,90 days,2.6773,176
\x9add34368f4cd8310d0b871a42de4fa0dea4aa2f,1221 days,3.2190,206
\x9b22838b969bf19b6575a843d8a489cc4ae3aaa9,14 days,1.8391,34
\x9be138af71ead11b351e2b99a9c6fc709c7564f4,31 days,0.3224,6
\x9ccfd6d678d1b467fceb11cd115e6c7afa323460,138 days,4.1075,257
\x9d68d0fd371b86c867b4297241fe88af83ae4e6a,108 days,1.3345,117
\x9de3d7a01112e9b64d544b450041a81ea63cec76,360 days,8.5156,717
\x9e0ee8cad01a4dfc4167d077b0e5227e0090141b,359 days,20.4673,1848
\x9e4a9b4334f3167bc7dd35f48f2238c73f532baf,4 days,1.4142,129
\x9e501c09b9e6158297a1db206b21cf88ccb9c508,39 days,0.0928,3
\x9e506c2867030f550bbac30820f5ec1c755ce5ee,118 days,0.5942,97
\x9ee950776858cd0852969acf58a527f4016f3904,47 days,5.1232,595
\x9f2587840ee943c06dca4cbd15104afbf3835888,53 days,2.5778,70
\x9fc91f4c6c9ebf86536bfd07b2548eaccd875a91,1119 days,2.2214,249
\x9fecf056375a973308bb3d6fb6b1c230cfd21456,450 days,22.3389,1912
\xa0250c7ff585fb28ff8a26c854aa0dbf41154473,43 days,1.2072,84
\xa0e1a25976be2b9ea5ec305dc332325311b0124c,122 days,1.5572,294
\xa2612aec7851965b6ae80bd12cab9bec2cb655d2,51 days,1.3597,35
\xa268946e1191b57ebaf8d1931d964ab8f5dc120d,36 days,0.8586,68
\xa28aad7250b1b9e5945e45067a5505845f049cc4,4 days,0.3800,19
\xa2d774e73c0f5778e0cf3c6720e997f569834cc8,37 days,0.5842,36
\xa32fcc1b3d4e2b597cf626f98228e68b63ef46f0,171 days,31.7466,736
\xa334d9bb907240fe01fa4a1d8baeec4cc0a75747,276 days,1.2511,68
\xa38edb4ec64d276bdd0795055a4d24a194eca1a6,37 days,1.0031,40
\xa3d3f5e19b55266fc2e2c14ef4488f450917e9f9,19 days,0.6292,56
\xa40315bb09b981a6dcbab51196cb4ea7f02777c6,18 days,0.4475,17
\xa4b7af6ed6207402d63109e0e7e61cc7c14d0f69,51 days,0.0250,2
\xa4debf582db3b3ab757c6aa12cb7c2886b224858,5 days,1.8365,29
\xa52b2a693e861e7fba809314a06078109e5073a0,88 days,0.9232,21
\xa5aa34f78d1823c347faa933a632f07be6788b52,437 days,19.2811,1163
\xa5f09c6f40aa9b8f7ad70d64c42e20df1ad1f0f4,39 days,7.1570,150
\xa5f8e2881a275344fe744b30c0b7066db8ace1f3,202 days,22.9698,1326
\xa6145dfb72adbd7d018c30f611bde7d943ee2e17,249 days,1.1308,43
\xa61d14017057983f6f3b2101b15b48300c961c01,236 days,6.6366,449
\xa63cfe2f80b959d0fd5f742ad181bac80bbb4979,284 days,1.0645,131
\xa6f4fa9840aa6825446c820af6d5eccf9f78ba05,1073 days,28.5018,1933
\xa6f70dceec9486039bdb3c6ebdbd7401aa2b8d74,1329 days,0.8629,205
\xa752eea12f7ecaa7674363255e5e7f0b083a515c,262 days,48.0370,4088
\xa7d7ac8fe7e8693b5599c69cc7d4f6226677845b,1321 days,41.3694,3499
\xa80be8cac8333330106585ee210c3f245d4f98df,1520 days,2.8341,255
\xa84544d65685a56590be81dbdbcc9adfdf0246cb,95 days,3.0384,243
\xa8d662c3ab732d455f1523b47ab11422cb71a63c,12 days,3.5344,78
\xa8ebe6dcda66bb74a8db994554d2ad277cb54ada,358 days,2.4624,306
\xa9700a53f78410c1ffb46249234df83ebd669dd6,11 days,0.5509,8
\xa9a8fdc2945b781a54ebd6663b4c785a0ebbd867,87 days,7.7067,374
\xa9bd6d7b7d965d761b891a6a67a068171f56e4ba,63 days,1.6539,192
\xaa917265aa6903d94a63c1cbc38312e19c11a053,155 days,0.8769,37
\xaaa313393e79ea3454939e843e0aa8dec66a9949,1262 days,9.0289,809
\xaaa3f05f25eed87ee3a268f4582ec914e6245577,385 days,7.5099,736
\xaae8c50d76c76fb8947c9a203103d28b55862977,382 days,40.7241,1804
\xaaf9c3e74f97c6892c4e8755851328ce508952ae,128 days,8.7630,499
\xabaf489d77c04b9881cfcddb709a5fbd0463740a,50 days,3.6705,154
\xabc837feeeb448d36173d92d9563f324bc3a273f,148 days,1.2401,97
\xabd7d0eb66fce4bace4659554277f6f52f5598ba,2 days,0.1778,7
\xac0f76a8c30e23bc197d26465e7be319713c5224,1525 days,12.1495,848
\xac334fd2355ed58cfc89b69ef9bc9656a9d818e7,143 days,2.6318,208
\xac991cc76a5068a321023914142c1b186d26397c,37 days,1.6554,87
\xacc2a01ef920c48fbc9799e027e6355a133ffa5b,6 days,0.4924,17
\xad1e365152589d3501340af5c004bfa1ef0d724a,407 days,14.3951,1504
\xad45ea9417c328dc218e30c6548b2a3ca2aaaaaa,336 days,0.0892,13
\xad7668a585680508581e1096777d13aae8a3d6bb,4 days,0.1313,2
\xae099730dfc04c086acd0ad9881f86ac62ad0b7a,157 days,3.1024,863
\xae29adf5e2a0daee29c80d49a7f70cc8bbc426d8,11 days,0.3151,18
\xae545300740d789791e998c2e655fdafe6341690,132 days,15.2510,201
\xae8a89c737e7423def56f6e39bf4052b112d6078,252 days,34.6252,2245
\xae9deddf056811f91fb58208a0ef973e1eecc911,188 days,20.6635,627
\xaeaf973270d08ed3c105edc33bd517a1afcf8e15,383 days,10.0379,847
\xaec5cbf940086b3c237ddc78744d93ce0a4e9495,3 days,0.1366,21
\xaed87b02805448786b41f10c997da5540e52072b,50 days,2.5196,141
\xaf1cc56a81ae3db157b73db4dbcd20907db5793f,140 days,0.6604,94
\xaf42e51b8d38876d6b3af4cae83aa513c35570c3,30 days,0.4064,81
\xaf7240360b32dc9c6558cc8e1be2546a180a8a2b,47 days,0.5847,62
\xafadaf45b9ffcc53d77cbbcbfc5b74022280342b,20 days,3.2848,68
\xafb7e19a422216b2c496ec9b59dc46cdad9dd48a,143 days,20.5996,1736
\xb03277e94d72d2843b797f3102b7ffd6a2279454,195 days,1.4053,201
\xb044972e048ee9bfb12dbf6f55ed59bdbf2cfa9f,88 days,0.7440,54
\xb0a1be32df8c8248a54389af5d5528c38d92d5be,347 days,21.6058,1066
\xb1367a1b5d7b236bf6b360135cade012e414a249,19 days,1.4964,10
\xb1c51fbecee5a397177c934b76acd080c105d648,199 days,0.7267,61
\xb1e079854268985431935ce53aa54c8e1722fa0d,145 days,18.1775,2018
\xb2066c050350d4072bb40344bc8d423a38fdb7b5,18 days,4.0313,87
\xb26a693b81d275f47d0095902ba1c61248e937ab,207 days,21.4267,781
\xb2ae49c0ae0a0cbefb3cd050de7915516d0c3082,162 days,6.6947,382
\xb30452beca9c462bc6773582c9e0d70cc60e7321,326 days,81.8804,4234
\xb32e083709588a1b3fa9c115c48051e61cbeba0a,214 days,22.6088,1778
\xb394e284b59e95599151bed5d39a8f3c00acc54e,185 days,3.7133,262
\xb4968ae81fdd1bc3b8fbf832ffda61bc337f5118,1404 days,8.2801,771
\xb4be9ca8799fcb3666787a9e49b792a8b1d8c3b9,123 days,15.2718,528
\xb583b6a3e0b6001c0598ede62bcbf69698a7b76c,4 days,0.2904,11
\xb597b202294dd5a4a616fcc2f178588bfc6d2c16,136 days,3.6993,380
\xb59825afbba29d5257f877a8a64265c3a10fc2ab,12 days,6.9358,48
\xb59e76f602961dd464848eda4752ba06b77eece1,1 day,0.2599,5
\xb5dc07e23308ec663e743b1196f5a5569e4e0555,368 days,3.9231,360
\xb64386dce7464039a6727687cc41416bb23bf996,85 days,0.0864,4
\xb683a2056526162c4771d363204af41ea8c1ec52,252 days,1.2046,110
\xb75e6a898f4d7dd32efea8d27094432b0f90618d,385 days,62.7746,3218
\xb831c317ef832167201e175100b1897fe2779948,1329 days,0.1261,14
\xb84f6da1b9accee009bdaba61573179b666b0d1a,137 days,2.6313,187
\xb971bc9b269bed160633a7686b8e879952cc2a0b,11 days,0.2639,15
\xb9c71dffd0315a61b5df3ef77f2caa5149fba4e1,679 days,80.8753,3372
\xb9e0aa0364decb89741b7d64e9dd6621e26ac6d2,68 days,5.8065,368
\xba0b03b7b0be541d3645f689b746f4f7bce93c38,123 days,2.5139,101
\xba39bf5db0cc53337ffbf4ab2bd2c014f12d0ae2,276 days,12.3417,903
\xba3ad142c3d70495d8ac76787ddcfb012f707963,77 days,0.1768,72
\xbaa02edb7cb6dc2865bc2440de9caf6a9e31f23e,94 days,0.9186,88
\xbb3f043290841b97b9c92f6bc001a020d4b33255,216 days,2.1523,188
\xbc05a906dbe32e01ecd189348aca5ffb393bc82b,120 days,3.0905,126
\xbc1b89612b8c8e006929197569818e785e427bfb,1330 days,42.9201,12892
\xbc473820cdb24c6b48f6b201a671c5a87d2739da,144 days,3.2889,360
\xbc6e70cb9b89851e6cff7ce198a774549f4c0f0c,160 days,6.2068,236
\xbc7f81506729a2e91b42bec3e818529daa024725,21 days,0.6591,41
\xbc9ca5bd0f07700929f8d538233b0a9e60f4ddc5,1020 days,19.8903,9650
\xbca7549b4a9867e8053f966739a08a46eb6cbad4,11 days,1.4829,47
\xbd04b0c6189dbfeadb7ef0f77db92993330c84f4,8 days,0.5286,33
\xbd702d5ec77056c47d56ed858847086608ba4552,123 days,0.7001,61
\xbd88fd947cd30b1af9558fe43824db85823aac75,43 days,0.3175,24
\xbd9ed148f421dde7eaf0bee6d81284c593b4c797,157 days,2.9192,263
\xbdd95abe8a7694ccd77143376b0fbea183e6a740,114 days,9.7646,717
\xbe5d6b71915a2b86d007f51432f5a79116196236,37 days,1.3956,206
\xbea9ae6f7a267e20c1e40d138dc59c50b33b1ea0,4 days,0.0099,6
\xbfc69d7a7e47ef6ee8b790010b85d525d9829756,56 days,1.7012,188
\xbfe8d5abf248081fe03236e31efdfdfe1562f9a2,1322 days,23.2907,5741
\xbff79922fcbf93f9c30abb22322b271460c6bebb,155 days,54.6969,1605
\xc0548825bd34b96448b487ed7028cf6b532228f9,196 days,17.9394,988
\xc05c4f2bf8c629d6f9f674e6949b6fe54832764e,91 days,2.4049,526
\xc0c3f670030a5c1302574ec02438590232c15601,47 days,1.2261,28
\xc13a07216193443f2310d15ccd7f4029fc359491,82 days,0.1527,31
\xc13ce81feab5fc3d0fc636e1d6c0405010381e5f,21 days,18.1597,427
\xc140aad62f73c19764205815e6b564cf6e9504bf,351 days,5.9494,493
\xc216b5a63cb8128fd6b3af161c943765333bb47e,1397 days,5.4788,523
\xc22df065a81f6e0107e214991b9d7fb179d401b3,328 days,6.5492,614
\xc2978441f46a76c60e0cd59e986498b75a40572d,16 days,1.3568,47
\xc2e00f8ebcb43dfa0c9d336c9f345f040c22ef9d,56 days,2.7438,55
\xc2e7c3a5675ee1308d56f5e4fd614007e0fcc63b,89 days,1.3324,191
\xc3539f72a7877777a5e5dd383429cb2ae7524f53,151 days,3.3920,65
\xc36751c53cf2db5e233c8eb5fba3002ae795f7dd,302 days,6.2140,305
\xc39c550825fdf5d44eab12d0bb319ae3144ba557,35 days,1.1264,157
\xc3bee77d669eeb416d3387f6b79e2399c4afbfbc,309 days,5.3952,367
\xc3c4746fc63763930b01a93eda9ec53a72b9ea4c,88 days,1.9563,263
\xc45a4b3b698f21f88687548e7f5a80df8b99d93d,89 days,10.1351,367
\xc51505386b5a1d3e7ecb88cec112796d8cee0250,119 days,2.5625,224
\xc51f6396458e03f846af5ab2e049f608a5dca87b,358 days,21.0332,1419
\xc534bc88a638ed452c13f97a844c2771b7ae4e7c,1 day,0.0658,5
\xc5b67f12beaa7b7a106a4eddddc0d88635223915,386 days,74.2007,2947
\xc5d7be4a4e5957baa078201f41d9fd5f21b91b1b,296 days,10.7223,860
\xc6136d5d747350f0a9d46730c12bb6c5a14adcce,173 days,13.4119,884
\xc63afcbce8a83f2ef3c8ece0763c2bebf3e13223,139 days,5.2932,418
\xc643c9411a6b489e9833b16631140f42bbfcb6d1,405 days,46.6651,2770
\xc6cc3f9f3f5e908a39a6d4c16862b6b590940c58,359 days,8.9837,747
\xc70b0b44e47e8604b4234f2d2d8e79540b0cf64b,1161 days,7.3429,967
\xc7bece28cb7112e3ece6293f6659d5d25db001b6,94 days,0.9823,118
\xc7c6b9a8c00df1f40b2bf50f5064f4164938a9a7,104 days,7.6512,718
\xc841b289918a1a7559263bc4c78af1ed15dd49c4,343 days,40.7481,2364
\xc8f1a199eeb0eccedfb0f401b828ee6fb894aaa7,110 days,4.4334,479
\xc9d25b9a3496c776688833d6ccfe507ef4f41645,1311 days,7.3694,1510
\xca19000fb53e4bc6825ec8975945463b4ebb5a9a,4 days,0.1431,2
\xcbbd34c2001a8411e227c5ced120234df1e8f0b5,109 days,1.1197,43
\xcbf3c9b38003fa550a7bff5206366c1f62480ba7,153 days,14.4050,970
\xcc4901ee8603b9c04237b37f06628730397c4b7a,139 days,6.3363,105
\xcca11a8edb05d64a654092e9551f9122d70ea80e,668 days,23.8981,2245
\xcccd3b0a375e8d864c5533f3beaef8467530e4aa,133 days,1.9411,88
\xcd94d3aa70986658d876ed6497636167014b1d1e,1206 days,7.4519,444
\xcda62bcbad763fe4b8ec8804b844a9849516d27e,142 days,0.8139,104
\xcdc441998bd58487eb7fb8e5f6a1b383771086d0,151 days,1.3083,78
\xcdf56ecbb91d301f2deca21b561cfece9c0f7e73,219 days,6.8141,283
\xce5ace7199bb112b89f5969e8ed3e0c3ac866b87,91 days,0.0957,9
\xcead03574e4b930ee871bf8bb49922148a63a8e6,88 days,1.8704,232
\xcedabd24f084df49a1abb56783d404c943e503db,75 days,2.7502,391
\xcee43b594841d15728261d0fc6f1157bcc909401,1339 days,2.4885,141
\xd0032a23ba9a998d472f71c6c55e493197c96ab8,108 days,3.3772,341
\xd1bea81dd97d4fcebc5b25686bdca04deff3991f,1342 days,7.4523,500
\xd1c053ced027ef33b8acbb10aeb7711987b29554,123 days,16.1564,616
\xd20ce27f650598c2d790714b4f6a7222b8ddce22,417 days,8.4117,502
\xd2165c20f83d6b7a2c243c49629e82a222392efe,59 days,8.6459,223
\xd2927a91570146218ed700566df516d67c5ecfab,227 days,13.1545,772
\xd2d165a11f92edeef6fb68991bc2fe21d5763cd6,69 days,1.1771,28
\xd31e15811507f9e6308a0d9dbb3b0aaa60d69c4f,346 days,5.7936,681
\xd3d395877d7f5015cf98ba9a8645f13170863041,1383 days,28.1088,1894
\xd42232f71cbe011263f5a4381221d182ace3d8be,226 days,0.1784,21
\xd450072e95d91b5f6e8e2f963d57358882bb0dc9,16 days,1.8774,47
\xd49322add203c8e04acdd53b7ff14b5e0ac861d7,99 days,5.3298,563
\xd507d4af71088bafbf2ea0cdb6962694f850de01,321 days,3.9930,619
\xd640ee3a5c590786aab56aa4795d3a41de90a005,00:00:00,0.0478,3
\xd657860fc512ec2250a7385a353f599e3276fddb,785 days,13.9418,1563
\xd6ce783626d04b0db46751f3c58c0f2ed66093e2,51 days,1.6137,56
\xd73417c4a65822465511acab078ee0ac2040c1d2,196 days,1.0918,133
\xd76040b01fa18843f8983dbb1b40d3a64b5b771a,90 days,5.3372,346
\xd782fcbc3bba63a08828be5f4aa59ce93aff7697,13 days,2.9021,60
\xd7927d0d47327449890f39a620dc651b66502df3,280 days,13.6789,1332
\xd7bad5eff26389b4ee7822690207b13106e03d43,90 days,6.8347,345
\xd7ddf70125342f44e65ccbafae5135f2bb6526bb,371 days,19.5055,1059
\xd817c48a6a227ed9700eebcf55f14516a3cdf7bd,148 days,2.3011,284
\xd83fd6bd09078034fdc0aaf16ea17cc70aa3bd3a,4 days,0.4706,9
\xd887758a36bbf3c44ba3f1ffa0d8ff8d536cc129,406 days,59.7624,4182
\xd8c6b22d5514948c776b3c7d2b6e9669ae008f6a,54 days,0.7199,39
\xd8fbd6a7f35b8af94910259d103dc261af913b3c,147 days,7.2528,510
\xd90664d053873c8cdd492b21fca3ec98ca923edc,120 days,0.9955,91
\xd915e6c3b88f16f9359127756b8d28e9a2f3e737,164 days,1.9912,61
\xd993a3a87d8140f507bb08ef82adf0edaa5b56aa,12 days,0.1518,8
\xd9c0558dcc5d336e367f997a23957b6a8b3c6c86,82 days,2.3063,133
\xd9c3415bf8600f007a1b4199df967c25a3e00eea,64 days,5.7768,1139
\xda27937582b0ed4211e9c322778658b7b151e44d,5 days,0.4517,17
\xda560fd7f97b7584216d2ec15b72da6d73fb765f,117 days,0.2483,8
\xdae386aeb8848cdafd00f2c045516e30222571dd,117 days,2.4249,162
\xdb24106bfaa506befb1806462332317d638b2d82,87 days,3.2295,391
\xdb50f37234280d8a860301ba1040ccf89fe65426,3 days,0.5537,33
\xdb6c1bb58b54705523aeec456d6aca1b3c8e39ef,143 days,3.1837,94
\xdc265d18126ba11b414d4bdf10ba4a08f5eb0f03,143 days,1.9004,119
\xdd1e6fee5428f89391963adc501d6a5fb9d9997e,379 days,15.3546,1308
\xdd27bae6ecef001d7c45ff3fb035db2fae7ba262,116 days,0.2433,15
\xdd54e6edaffe9547e144c3eccdaf7facf1b0db84,134 days,2.3590,374
\xdda36dcd6fb50c27c6944bb4dddd210f48bb9056,90 days,1.9083,139
