user_address,time_since_first_tx,total_gas_eth,number_of_txs
\x1cc3195c46c2f6af665ae281ad861eab88ed8fb5,1367 days,2.9870,178
\x1ce2304369d957fc1f0dd32c983f445e449f4c7a,689 days,129.6611,7369
\x1df8d6e064c7249a88678309c11193a75c325eb7,79 days,0.3873,18
\x1e32a859d69dde58d03820f8f138c99b688d132f,1569 days,11.2932,718
\x1e7082fb1576cd5befc3f2093d2d9ee47e2e5983,92 days,0.4487,143
\x1e8d57b8a547dfdc8117debbba49ab00f28b64da,4 days,0.1009,3
\x1eb575e1b7212a05907a692de46986da95c5f22b,98 days,0.1592,21
\x1f1f8039471740175f0a0e4062493ec25c2c7462,68 days,2.3458,325
\x1f2eb98b4e5a445b166cf152e50c008b85ea17b1,166 days,1.6511,79
\x201f948e98513abe8dc70047ba98a050fe67e9fb,151 days,16.1678,611
\x202e10a139d7813c4806216f210e9769dac9e97a,198 days,2.1431,140
\x202eca424a8db90924a4daa3e6bcecd9311f668e,201 days,6.4106,612
\x20f875955007c41fc3d72df4cfaec4fb806da03a,373 days,11.2853,900
\x21bb3eb127b7b96f39e3e99b0fb7f4051c4994a8,46 days,0.8835,144
\x21e0324596f537e902b1c215c3985c95eef7943b,1257 days,2.7329,164
\x22315e2852c73eb9f63efccb18f9eb7a68a22441,1 day,1.2823,22
\x239ac0f0ef5ad27ecb9a6cb3296d2f532ae66ff9,32 days,0.3808,57
\x23d20d8786ef45f2108c45fdaa6159688b2bdc95,336 days,13.5175,1024
\x23d5d88a0463db6eecae3eaff16f82fd7b707ded,8 days,1.5891,65
\x240cf70d8a648be133feb342d71e5e81c686e5f8,1435 days,17.9103,1012
\x2465bd53a0e4f726dc6bf059e07979715c44dc0b,144 days,24.8979,1027
\x24d8e4a8d59f00c370ca6f9344ed8ba47f74d85f,41 days,2.6552,287
\x24e013156619a4a28abac56bda14c516667bf975,118 days,4.1339,146
\x2586319850defd14dbfa93fe588780fdea0d4336,1449 days,1.2966,83
\x25aa5c93efc244f887ebd603094b272b4a30ae36,4 days,0.2248,7
\x25cc5677c82453ea26642f7a3f733c6006c31011,434 days,118.0693,7146
\x2617f37c4213e91c567560a9a8b947ff5d6120b3,109 days,2.6134,193
\x2649b59a29267cb471b5e55802c80c7e64ab4075,143 days,11.3367,363
\x26e2e8a24e867e5e96ea0c4913e659cdc8a97973,185 days,1.3448,76
\x275c69284ce670e88b5539355d94bd0601981d1d,812 days,2.3987,247
\x279ee0f94b4f59198742c53650a103f0d329e0a2,39 days,2.4411,236
\x28e3e03240c4b7101c474bdbcab13c6bc42cc7eb,1281 days,14.3890,351
\x290420874bf65691b98b67d042c06bbc31f85f11,145 days,5.9798,431
\x2927a6ba73ad0a156d5260f0f85bbbde0625daaf,79 days,1.2572,111
\x29a9a733546d64fb2ff620abe99b3f41303bc5c2,97 days,0.1554,5
\x2a07272af1327699f36f06835a2410f4367e7a5c,139 days,4.2224,347
\x2a16e92eceefa1026ecb9eb0e10cbe7e9fae1f90,113 days,2.6910,253
\x2a69e341e1dbec5b61e4ece9e6114f5f2179404c,12 days,0.1674,14
\x2afb65af08936becd887b3c7daff969a6c682301,55 days,0.1238,26
\x2afbdf31aae1f867a41fee55e3573e3f136abd80,20 days,1.6566,35
\x2b5d030a8e0951449d166140c23cac4567777777,336 days,2.8080,282
\x2b67e1e7c7a046e0c81832ab78320712483e6c7f,139 days,1.6504,137
\x2b70db9febc008e56463a6f82ce6cd56c6164b11,6 days,0.5967,18
\x2b85075702b5bc4737d8e1560b7efe8535105b47,75 days,8.0681,603
\x2bf492cc092e70169a508e3643677fd408be6e14,89 days,1.5363,105
\x2c7b8ccee67e6b43cb0046f07c7a9c9e27e4351b,276 days,10.1800,1157
\x2cba58f39c1bbcbb22b65d0985e8c8e8ccd7518b,375 days,17.5455,1945
\x2d46fbdcce50f1b484da0c56f1116877d28e52ef,98 days,4.6885,541
\x2d5e03d9064a55b96d34290a176656398df91379,207 days,11.8066,1019
\x2d63a6ee734287955edc1201ef3344e5fe7e2847,145 days,0.9045,214
\x2d88bb0bfd92739d3344efb36b99098f7928c79c,4 days,0.2753,8
\x2d8c2e5948abeb974d1d7a42b4d13b1288eb39e6,95 days,2.7879,37
\x2dd534dd4949ccdbb301d29b15d8b86111ee4ae1,143 days,5.6295,220
\x2de14db256db2597fe3c8eed46ef5b20ba390823,1206 days,5.9054,600
\x2e0d63ffcb08ea20ff3acdbb72dfec97343885d2,318 days,21.1453,1435
\x2ebdee94cb5df4a8f4b5acab118f6d4e55896aed,134 days,0.2323,24
\x2eea4706f85b9a2d5dd9e9ff007f27c07443eab1,98 days,0.9747,115
\x2f1d22fce0c8d86374b635c4d7508ea9d5ca1edc,51 days,3.9311,331
\x2f267589d1d15a200b5b7ba99657f14390dc1256,41 days,3.9062,144
\x2fb381d2ac288ab3c33695763379432d19b760c9,8 days,0.4566,18
\x2fcc020f72e5d2edd2a24d04f3dc90d7fdfbd1dd,1341 days,40.5316,2779
\x30484de5c7954252581c69718bd08717c229b070,178 days,2.7073,243
\x30645a0f9b93633453493cb4029fa9f2a4e9460b,108 days,12.0783,808
\x308dcaca32b14eb73553872d524ffefd5c5eff0a,355 days,4.0147,347
\x316d5e60463e392601305834b3816d1d27d3e423,155 days,2.8210,271
\x317fdbf289a41435df30efcb00015f95b1eaddfe,91 days,5.9080,500
\x319c5aac235fbbd6f7ab7307a1cc734ec229e636,13 days,1.3088,44
\x3207f48e83290baf669abda42aced4e0c7d3032e,6 days,0.4981,8
\x325c08a558ff02f244f31ba1e87bf3c1b1c08f45,84 days,12.6098,459
\x32606c4aa95ea78d7c5b1e0e347e3e9ae451434e,143 days,10.2225,742
\x32a88f097056c773569abb6a3cf8d88228466e00,1337 days,27.3201,11699
\x331c79fed41408af51741ef7494a403666e9a9f4,348 days,5.2711,484
\x3336ed787919678c3d49124dca8a3f581891c19d,1160 days,1.3501,180
\x3364fcc9d074c4551ba354b90c069f2ed73dc98b,37 days,1.3062,29
\x33c82bdd744547e6eb7a795e9c8a47ca47af49e5,40 days,2.3136,55
\x33ee1fa9ed670001d1740419192142931e088e79,182 days,7.3942,751
\x34cc62a979b2f4a3d757a6527ad6835c6284b6b9,100 days,4.9058,233
\x34e2cb7513a50b19f450a067ed5230a86c13a2e9,734 days,21.9044,3148
\x35632b6976b5b6ec3f8d700fabb7e1e0499c1bfa,1223 days,68.8672,30551
\x35781000f260d3b3175d22e0669bd1bf42badfda,156 days,3.6210,50
\x358100c75a442a1a40d9aa0662269d320d7f0f2e,115 days,3.4442,963
\x365b94ab73ab228544a66e46b90be4deb946a6de,139 days,3.9961,363
\x367c61ced4dc1939d4807ea3bcc21f0f680b9402,00:00:00,0.1261,6
\x369c5981ba91a89248fc8f39a334c916d1054ce8,39 days,0.1302,8
\x36bef46dfd4e17f9c6cae37e408540dc7c6527d6,26 days,0.9453,126
\x36fa11f6715a5e440871f531030ee4e94d7b9309,17 days,1.1508,77
\x376ffeff9820826a564a1ba05a464b9923862418,214 days,5.3071,803
\x378ff65cb9e9b83b86aa2534c9991e5b28f1ec92,1377 days,4.5232,301
\x37a214cc185864960268435e4fb2e1f856993e94,52 days,0.1627,14
\x37c60cfdcfd7b621d48226a7b08178d57c8c8caf,32 days,2.0185,51
\x37f106588b973bcdcde85c960957f399ae43efd2,164 days,5.5011,195
\x37f7954e63e8e487d35d2afac23614661c883158,18 days,1.4256,34
\x38a4d889a1979133fbc1d58f970f0953e3715c26,198 days,17.4248,1565
\x38ed4caae12e5fd14ead80084b3c8a54ed45e519,275 days,17.5653,487
\x39096110c8b5ec6f7fa8af8bd8c43aa1bcfcdf1b,55 days,2.8667,130
\x392d688249dda8c3f75402cc257307e04fcd793c,51 days,4.6392,294
\x3942ae3782fbd658cc19a8db602d937baf7cb57a,256 days,10.3534,835
\x398a20f8a91a7406343e75f4ac1eaad6902d3862,1205 days,2.9867,372
\x39d1c9a4c3784e33ca6962bcc365b0a873489812,23 days,0.1892,23
\x3adaea08d735eebb1eef0d7af0b4c0508a93d2de,66 days,0.5521,19
\x3adb2f2a408c2f9aac838256353e63e44fe379ab,338 days,13.5779,1278
\x3b83e2ce3c660106f4c1786acb3f6aeca14517bf,93 days,1.2855,131
\x3bf356add1eb182471a4c13ef5376e93accfadc4,37 days,2.1257,79
\x3bfc2f16535b4193f2fdfd9b22e9e23cda0f8cdc,123 days,2.6049,276
\x3c2b4bdcd2f742c55186fc599cb733a127e2b8ab,92 days,13.9220,1070
\x3ca9e32c8500dd200eb272cb98b23fa058500cae,91 days,4.7093,392
\x3dcd214d9234b1edd2f6cb28b4790e544b84552a,164 days,3.3437,248
\x3e124dd3c7fb8c40964d7b2b1f6ef2adec803791,200 days,2.4418,273
\x3e513fae92e6b80a6c560fa3faf7a4f0ec088027,63 days,1.2936,134
\x3e803763dab0c33209745d8413b9936dcdb7bea3,88 days,2.4747,251
\x3f91679839c3767ed79f8267a730e1a482fa72e9,51 days,1.0687,23
\x3fa99ea896f716d0cfbe370a8f6bec32a880f6dc,173 days,8.1692,500
\x3feaa35631d40a7c17e395e6d2ef16f275183afa,159 days,2.5381,382
\x3ff60dc4cea3c3b129039cc0d2da78d02588e731,44 days,2.7873,45
\x400b95bdec42cd15a4fb8f926b248c655ec03ae3,8 days,0.3861,20
\x4041e9d98f794ee7d952d266c1a10707a0af5332,286 days,10.0469,812
\x413e501f4235a9453be6142e1b2916fe44ef1f42,51 days,1.6064,30
\x4222dcb53cf02044f88cd34c837aa8def554dc8a,5 days,0.3499,5
\x4265d230d2d54010d853b107848fc6e0b64c9c24,175 days,1.3957,177
\x4298e663517593284ad4fe199b21815bd48a9969,163 days,9.5438,1071
\x43f8e8a835ce39bf77f4449de3fb405461fbb9b0,143 days,2.4230,118
\x4461e1ab21e92161994cc37b984276c2ae1e8b2e,116 days,11.6024,506
\x44990d2baebc1917796ac59097bc089a417582ec,128 days,1.7993,344
\x44e3dffab605a14bbcfef4be2a07b664f5ada39b,31 days,0.4493,10
\x4509624050a93d2f37a1afd444c07907b8031ab0,60 days,2.6061,186
\x452671bb51a1ab67364515988dbbfee08a3e4ede,113 days,5.0696,343
\x45f5a5fd70e76fa731e1849f18c2c23bae176a38,00:00:00,0.0936,2
\x46910af2ead8ae10ad2787cf197909126c3864f6,1309 days,8.2672,709
\x46c9c1de71e8c27164d66ec7b60b3e48d2ab87da,163 days,1.9345,135
\x475e5fbe12da0c0b16ef7690172de84bdf75c105,375 days,18.1294,1262
\x47889858f1e501b88189678a618bc1afaff2c326,1290 days,8.9189,464
\x47ba9f86c3fa6e6741bb7c25e88f123644fb75cd,175 days,4.0769,249
\x4831d47b376e973c49007b9af6d2cb5f7f67d4da,130 days,0.4743,37
\x489942ea5e840a213faa36e9cc2d20d674e24b50,7 days,2.8397,55
\x48a49ae10d21bb097b6ac27ed1ee0b05dedef062,13 days,0.1645,21
\x48a6ceabf9998f11d97c304a4d38e7743da4c9d4,18 days,4.0449,142
\x48a86f47ca90d125b621c083834e2ed3eb77aa75,10 days,0.3041,18
\x494d6f4d8d3bda712d8b57bfba613c6d31546d45,51 days,10.0627,216
\x49c3feafddaefc3bed06f4ff87ce86610c2c1076,204 days,21.8742,1300
\x4a12e5733295e623c8e8c7aff647586334663013,140 days,1.8288,201
\x4b5245a982b5d972683a74116f9af2652cc08c29,54 days,3.8518,85
\x4bf3805b23c99f8e0a5797e86fd0232a04a2a629,1436 days,1.5790,123
\x4c978c78b0402f6df7db25a9d3f91020d31bd12f,322 days,2.9638,54
\x4cadfe63af96404bcb3fbef877dc7aaf2593156d,64 days,8.9496,1072
\x4ceadf65f352afcb42e75a09f471ef45f541cfb4,106 days,0.2121,16
\x4d87de29c8cf1329227d0e3efdb8561cf81537b2,116 days,2.5927,110
\x4e7875491ec4764004740d8f579d8159b74e9621,20 days,2.5310,177
\x4e7e1c73c116649c1c684acb6ec98bac4fbb4ef6,322 days,51.1761,3414
\x4ec7aedec741e316efe7c0443733da978a319dc5,1094 days,23.4488,1926
\x4ed3f1cad6b5f943bd2b292965d47a4155997331,1284 days,5.5530,339
\x4f756b4a2f90ec92501f615d8832973c5a4ccbbc,95 days,2.9520,38
\x4f93ad81de0a7621518685b7230e544991ceb3cf,95 days,2.7685,36
\x4fbdb631c56ac1b2d48fc779bf4044f068a5f4b0,91 days,1.3387,282
